Week,Region,Sales_NB,Sales_SB,Price_NB,Price_SB,logSales_NB,logSales_SB,logPrice_NB,logPrice_SB
1,A,2151,824,6.37,4.99,7.673688129,6.71417053,1.85159947,1.60743591
2,A,2062,1022,6.38,4.8,7.631431665,6.929516771,1.853168097,1.568615918
3,A,2092,819,6.33,4.68,7.645875825,6.708084084,1.845300236,1.54329811
4,A,1662,2300,6.35,3.07,7.415776975,7.740664402,1.848454813,1.121677562
5,A,2037,1016,6.36,4.8,7.619233416,6.923628628,1.850028377,1.568615918
6,A,2204,845,6.38,4.85,7.69802917,6.739336627,1.853168097,1.578978705
7,A,1597,740,6.32,5.03,7.375882148,6.606650186,1.843719208,1.615419984
8,A,2068,589,6.36,5.05,7.634337236,6.378426184,1.850028377,1.619388243
9,A,1750,617,6.34,5.04,7.467371067,6.424869024,1.846878768,1.617406082
10,A,2701,661,6.01,5.05,7.901377354,6.49375384,1.793424749,1.619388243
11,A,2034,893,6.36,5.05,7.617759577,6.794586581,1.850028377,1.619388243
12,A,2100,661,6.37,5.07,7.649692624,6.49375384,1.85159947,1.623340818
13,A,1977,613,6.37,5.05,7.589335823,6.418364936,1.85159947,1.619388243
14,A,2075,901,6.37,5.06,7.637716433,6.803505258,1.85159947,1.621366483
15,A,2130,887,6.37,5.05,7.663877259,6.787844982,1.85159947,1.619388243
16,A,1885,794,6.35,5.01,7.5416831,6.677083461,1.848454813,1.611435915
17,A,1818,816,6.35,5.03,7.505492275,6.704414355,1.848454813,1.615419984
18,A,2238,717,6.34,5.05,7.713337889,6.575075841,1.846878768,1.619388243
19,A,2331,522,6.27,5.07,7.754052639,6.257667588,1.835776355,1.623340818
20,A,2126,593,6.27,5.09,7.661997559,6.385194399,1.835776355,1.627277831
21,A,1984,799,6.19,5.07,7.592870288,6.683360946,1.822935087,1.623340818
22,A,4238,620,5.06,5.05,8.351846739,6.429719478,1.621366483,1.619388243
23,A,2423,1065,6.23,4.8,7.792761721,6.970730078,1.829376333,1.568615918
24,A,2300,1033,6.25,5.08,7.740664402,6.940222469,1.832581464,1.625311262
25,A,1872,685,6.27,5.1,7.534762657,6.529418838,1.835776355,1.62924054
26,A,1941,810,6.28,5.07,7.570958583,6.697034248,1.83736998,1.623340818
27,A,1783,704,6.27,5.06,7.486052618,6.556778356,1.835776355,1.621366483
28,A,2469,701,6.18,5.09,7.811568489,6.552507887,1.821318271,1.627277831
29,A,4069,520,5.06,5.08,8.311152548,6.253828812,1.621366483,1.625311262
30,A,2204,697,6.24,5.08,7.69802917,6.546785411,1.830980182,1.625311262
31,A,2559,673,6.26,5.08,7.847371836,6.51174533,1.834180185,1.625311262
